Restaurant Name,Cuisines,Average Cost for two,Price range,Aggregate rating
Dial n Dine,"North Indian, Chinese",650,2,3.4
Fresh n Refresh,Fast Food,500,2,3.4
Garden Hut,"Chinese, Fast Food",250,1,3.1
Giani,"Ice Cream, Desserts",400,1,3.3
Jugnu Gaming Zone and Cafe,"Cafe, North Indian, Fast Food",600,2,2.9
Keventer's South Indian & Chinese Food,"Chinese, South Indian",200,1,2.8
KTS,Fast Food,250,1,3.3
Mandarin,Chinese,600,2,2.8
Penguin Bakers & Shakers,Fast Food,400,1,2.8
Rollmates,"Fast Food, North Indian, Chinese",200,1,3.2
Tandoori Nights,"Mughlai, North Indian",650,2,3.0
Burger Dominion,Fast Food,500,2,3.6
Cafe Gainz,Healthy Food,350,1,3.5
Chaskaa,"Chinese, North Indian, Italian",650,2,3.5
Fabulous Cake Bites,"Bakery, Desserts, Fast Food, Pizza, Burger, Continental",400,1,3.6
Hangout - A House Of Kathis,Street Food,250,1,3.7
Malais By Anands,"North Indian, Chinese, South Indian, Fast Food",300,1,3.7
Panchwati Rasoi,"North Indian, Chinese",250,1,3.8
Sprinkles Cup & Cake,"Bakery, Desserts",300,1,3.6
Target Ice Cream & Bakers,"Desserts, Bakery, Pizza, Burger, Continental",350,1,3.6
The Sweeet Jar,"Cafe, Bakery",1000,3,3.9
Amar Bakery,"Bakery, Desserts, Fast Food, Mithai",500,2,0.0
Cafe Brewbug,"Fast Food, Beverages",350,1,0.0
Chilll House Kafe,Cafe,500,2,0.0
Cookie Shookie,Bakery,100,1,0.0
Fabulous Cake,Bakery,300,1,0.0
Jai Maa Shaarde Samose Wala,Street Food,100,1,0.0
Madaan Confectionery,Bakery,150,1,0.0
Magic Masala,"Chinese, South Indian, North Indian",500,2,0.0
Sikka Chinese Fast Food,"Chinese, Fast Food",300,1,0.0
Teedo's Cake Inn,"Cafe, Bakery",500,2,0.0
Thalaiva Cafe,"South Indian, Chinese",400,1,0.0
The Cake Affairs,"Bakery, Desserts",500,2,0.0
Tulsi Ram Chinese Hut,Chinese,200,1,0.0
V. K. Pasta,"Italian, Fast Food",600,2,0.0
Xpert Bakers,Bakery,250,1,0.0
Juniper Bar - Andaz Delhi,"North Indian, European",1500,3,3.0
McDonald's,"Fast Food, Burger",500,2,3.4
Pizza Hut Delivery,"Italian, Pizza, Fast Food",800,2,3.2
The Arena,"Continental, Asian, North Indian",1600,3,3.4
Restaurant De Seoul,"Japanese, Korean",2500,4,3.6
Taksim,Continental,1500,3,3.9
Jom Jom Malay,"Malaysian, Indonesian",1800,3,4.4
Kofuku,"Japanese, Asian",1500,3,4.0
The Sky High,"Continental, North Indian, Mughlai, Italian",1400,3,4.1
Haldiram's,"North Indian, South Indian, Chinese, Mithai, Fast Food",500,2,3.1
Jux Pux - The Dreamer's Cafe,"Beverages, Fast Food",350,1,3.1
Pizzaon,"Pizza, Fast Food",500,2,3.0
FFC Restaurant,Fast Food,250,1,0.0
"34, Chowringhee Lane",Fast Food,350,1,2.8
Aapni Dhani,"North Indian, Street Food",200,1,2.8
Bengal Sweet Corner,"North Indian, South Indian, Chinese, Fast Food, Mithai",500,2,2.8
Chicken Vicken,"North Indian, Chinese",600,2,3.4
Cup-a-licious,Bakery,200,1,3.2
Frontier,Bakery,200,1,3.0
Metro Fast Food,"Chinese, Fast Food",400,1,2.7
Nagpal's,Street Food,200,1,3.4
Nile Restro & Bar,"North Indian, Chinese",1000,3,2.7
Popular Chicken,"North Indian, Mughlai, Chinese",450,1,3.0
Sardar A Pure Meat Shop,"Raw Meats, Fast Food, North Indian",150,1,3.4
Shankar Fast Food,"Chinese, Fast Food",300,1,3.2
Singh's Zaika,"North Indian, Chinese, Mughlai",500,2,3.0
The Mirch Masala,"North Indian, Chinese",700,2,3.0
The Mirch Masala,North Indian,650,2,3.2
Uncle Cake Shop,"Bakery, Desserts, Fast Food",300,1,3.1
Kays Bar-Be-Que,"North Indian, Mughlai",700,2,3.5
Master Bakers,"Bakery, Desserts, Chinese, Fast Food",350,1,3.7
The Master's Fast Food Centre,"Fast Food, Chinese, Bakery",400,1,3.5
6 Pack Momos,Chinese,300,1,0.0
Al Noor Foods,"North Indian, Mughlai",500,2,0.0
Avon Kitchen,"North Indian, Mughlai, Chinese",700,2,0.0
Bhasad Cafe,"Fast Food, Chinese",500,2,0.0
Bikaner Kesarvala,Mithai,100,1,0.0
De Bone Chicken,"Raw Meats, Fast Food",400,1,0.0
Indian Fresh Meat Shop,"Raw Meats, Fast Food",300,1,0.0
JD's Food Court,"North Indian, Chinese",550,2,0.0
Keventers,Beverages,400,1,0.0
Malhotra Bakery,"Bakery, Chinese",300,1,0.0
Matthi Wala,"Mithai, Street Food",150,1,0.0
Nirula's Ice Cream,"Ice Cream, Desserts",250,1,0.0
Punjabi Chaap Corner,"Fast Food, Chinese",400,1,0.0
Puran Dhaba,North Indian,200,1,0.0
Rama Desi Ghee Meat Wala,North Indian,650,2,0.0
VadaPav 'n' Frankie,Fast Food,100,1,0.0
Chhabra Sweets,Mithai,100,1,2.4
Kanwarji's,"Street Food, Chinese, North Indian, Mithai",300,1,2.9
Pizza Hut,"Italian, Pizza, Fast Food",1000,3,3.4
Sagar Ratna,"South Indian, North Indian, Chinese",600,2,2.7
Smelling Salts,"North Indian, Chinese",1200,3,3.3
Wah Ji Wah,"North Indian, Chinese",350,1,2.6
Wheelyz,"North Indian, Chinese, Fast Food",550,2,2.5
Bell Pepperz,"Chinese, Italian, North Indian",1300,3,3.9
Bharat Sweets,"Mithai, Street Food",250,1,3.5
Invitation,"North Indian, Chinese",1300,3,3.6
Mystique Melange,"North Indian, Mughlai, Chinese, Continental",1800,3,3.9
Pandit Ji Paranthe Wale,North Indian,200,1,3.7
Raju Chat Palace,Street Food,200,1,3.9
Seasonings - The Spice Mysteries,"North Indian, Mughlai, Chinese, Italian",1200,3,3.9
SGF - Spice Grill Flame,"North Indian, Chinese",500,2,3.5
Apni Rasoi,North Indian,300,1,3.0
Bablu Kabab Shop,"North Indian, Mughlai",500,2,3.1
Cake o' Cuisine,Bakery,300,1,3.3
Domino's Pizza,"Pizza, Fast Food",700,2,3.2
Hunger Flames,"Pizza, Fast Food, Chinese",500,2,3.4
Puran Chand Ambala Wale Di Hatti,"North Indian, Mughlai",600,2,3.3
The Cake Gallery,Bakery,500,2,3.3
Bablu Chic Inn,"Mughlai, North Indian",750,2,3.6
Masala Basket,"North Indian, South Indian, Street Food",400,1,3.6
Udta Punjab,"North Indian, Mughlai",600,2,3.5
Munch Nation,"Fast Food, Italian, Chinese",350,1,4.0
Bengali Pastry Shop & Snack Bar,"North Indian, South Indian, Chinese",550,2,3.2
Bhimsain's Bengali Sweet House,"North Indian, South Indian, Chinese, Street Food, Mithai",400,1,3.4
Cafe Coffee Day,Cafe,450,1,2.9
Colonel's Kababz,"North Indian, Fast Food",600,2,3.4
Faasos,"North Indian, Fast Food",600,2,2.8
Karachi Bakery,"Bakery, Mithai",200,1,3.0
Nathu's Sweets,"North Indian, South Indian, Street Food, Mithai",600,2,3.3
Sachdeva Confectioners,"North Indian, Chinese",550,2,3.1
Bengali Sweet House,"North Indian, Street Food, Chinese, South Indian, Mithai",400,1,3.6
Bijoli Grill,"Bengali, North Indian, Chinese",800,2,3.7
Nathu's Pastry Shop,"Bakery, Desserts, Fast Food",300,1,3.8
Balaji Dhaba,North Indian,200,1,0.0
Bhagat Ji,Fast Food,100,1,0.0
Hangout Kathi Rolls,Fast Food,200,1,0.0
Makers & Bakers,"Bakery, Desserts",350,1,0.0
Habibi Express,"Lebanese, Arabian, Moroccan",750,2,2.3
Cafe Coffee Day,Cafe,450,1,3.2
China Town,"Chinese, Fast Food",400,1,2.9
Domino's Pizza,"Pizza, Fast Food",700,2,3.3
High Street Kitchen & Bar,North Indian,1200,3,2.9
Pizza Hut,"Italian, Pizza, Fast Food",1000,3,3.1
Sugar & Spice - Le Marche,"Bakery, Fast Food",800,2,3.0
The Kathis,"Fast Food, North Indian",300,1,2.8
The Kylin Experience,"Japanese, Chinese, Malaysian, Thai, Vietnamese",1700,3,3.3
Arabian Nites,Lebanese,450,1,3.5
Asia Kitchen,"Chinese, Thai, North Indian",1300,3,3.7
Dunkin' Donuts,"Burger, Desserts, Fast Food",600,2,3.7
Krips Restaurant,"North Indian, Chinese",1000,3,3.5
McDonald's,"Fast Food, Burger",500,2,3.5
Yo! China,Chinese,1300,3,3.5
RPM,Finger Food,1800,3,2.4
By The Way - Bellagio,"Italian, Continental",1000,3,2.9
Red - Bellagio,Chinese,1500,3,3.4
Soul Curry - Bellagio,"North Indian, Mughlai",1100,3,3.6
Alpha 63,"North Indian, Chinese, Continental",1500,3,2.7
Bite-N-Sip,"North Indian, Street Food",300,1,2.6
Lotus Garden,"Chinese, Japanese, Thai",2000,4,3.2
Meethas Sweets,"Mithai, North Indian",200,1,2.8
Nirula's,"Fast Food, North Indian, Desserts, Ice Cream",1100,3,2.5
Punjabi Tadka,North Indian,250,1,2.8
Snack Bar,"North Indian, Mughlai",250,1,3.0
South Indian Food,South Indian,150,1,3.1
Domino's Pizza,"Pizza, Fast Food",700,2,2.4
Southy,South Indian,400,1,2.4
Coffee Shop - Centaur Hotel,Cafe,1500,3,0.0
Al Kuresh,"Chinese, North Indian",850,2,3.3
Angan Bakery & Cafe,"Bakery, Italian, Fast Food, Chinese, Continental",600,2,2.9
Bamboo Chopstix,"Chinese, North Indian",700,2,2.7
Bawarchis,"Chinese, North Indian",700,2,2.9
Bikanervala,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",450,1,3.4
Cafe Coffee Day,Cafe,450,1,3.0
Chanakya Bar-Be-Que,"Chinese, North Indian",800,2,3.2
Chattisgarh Bhawan,"North Indian, South Indian",450,1,2.7
Chimney,Chinese,800,2,2.9
China Town Sizzlers,Chinese,800,2,3.4
Chinese Bite,"Chinese, North Indian, Seafood",700,2,2.8
Chinese Garden,Chinese,900,2,3.2
Costa Coffee,Cafe,600,2,3.0
Food Point,Fast Food,200,1,2.8
Ikko,"North Indian, Mughlai",1650,3,2.9
Jammu And Kashmir House,"Kashmiri, North Indian",500,2,2.9
Laguna,"Chinese, North Indian",900,2,3.4
Momo Point,"Chinese, North Indian",700,2,3.2
New Zaika,"Chinese, North Indian",700,2,3.1
Organic Express,"Cafe, Healthy Food, North Indian",700,2,3.0
Tamil Nadu House Canteen,"South Indian, Chettinad, North Indian, Chinese",600,2,3.4
The Chocolate Avenue,Bakery,300,1,3.4
Chimney Sizzlers,Chinese,800,2,3.7
Gujarat Bhawan Restaurant,"Gujarati, South Indian, North Indian",400,1,3.7
It��s Sinful,"Bakery, Desserts",450,1,3.5
Jakoi,"Assamese, Chinese",600,2,3.5
Arunachal Bhawan,North Eastern,350,1,0.0
Hotel New Tamil Nadu,"South Indian, North Indian, Chinese",300,1,0.0
Milan Food,"Chinese, North Indian",650,2,0.0
Playboy Club,Finger Food,3000,4,0.0
Moti Mahal Delux,"North Indian, Mughlai",1600,3,2.4
The Treat,"North Indian, Mughlai, Chinese",500,2,2.1
Break Fast Point,North Indian,200,1,3.3
Breakfast Corner,North Indian,150,1,3.1
Domino's Pizza,"Pizza, Fast Food",700,2,3.0
Frontier,Bakery,200,1,3.2
Prince Cafe,"South Indian, Chinese, Fast Food",300,1,2.9
Spicy Eleven,"North Indian, South Indian, Chinese",500,2,3.1
Vaishno Punjabi Dhaba,North Indian,400,1,3.0
Adarsh Bhojnalaya,North Indian,300,1,3.4
Al Haj Bakery,Bakery,150,1,3.0
Anmol Chicken,Mughlai,300,1,3.1
Babu Ram Paranthe Wale,North Indian,150,1,3.2
Bhaijaan Kababs,Mughlai,100,1,3.2
Bhikharam's,"Mithai, Fast Food",300,1,3.0
Bikanervala,"North Indian, South Indian, Fast Food, Street Food, Chinese, Desserts, Mithai",550,2,2.8
Brijwasi Bhoj,North Indian,200,1,3.1
Brijwasi Restaurant,"North Indian, Fast Food, Chinese, South Indian",400,1,3.2
Comesum,"North Indian, Street Food, Chinese, South Indian",350,1,2.5
Inderpuri Restaurant,North Indian,250,1,3.0
Kamdhenu Family Corner,"North Indian, South Indian",300,1,2.8
Khalsa Hindu Hotel,North Indian,450,1,2.9
Mahalaxmi Mishthan Bhandar,"Mithai, Street Food",100,1,3.3
McDonald's,"Fast Food, Burger",500,2,3.0
McDonald's,"Fast Food, Burger",500,2,3.0
Natraj Cafe,"North Indian, Fast Food, South Indian",300,1,3.4
Padam Chaat Corner,Street Food,100,1,3.0
Pandit Ved Prakash Lemon Wale,"Beverages, Street Food",50,1,3.2
Pt. Babu Ram Devi Dayal Paranthe Wale,North Indian,150,1,3.0
Rabri Bhandar,Mithai,150,1,3.2
Ram Parshad Makhan Lal,Mithai,100,1,3.4
Rambhoj,"North Indian, South Indian",150,1,2.9
Rehmatullah's Hotel,Mughlai,100,1,3.0
Sharma Bhojnalay,North Indian,100,1,3.0
Shree Balaji Chaat Bhandar,Street Food,100,1,3.2
Shri Duli Chand Naresh Gupta,Desserts,100,1,3.4
Shri Hari Sharnam,"North Indian, South Indian",400,1,3.1
Sindhi Chicken,North Indian,400,1,2.9
Soni Bhojnalaya,North Indian,300,1,3.0
Super Restaurant,North Indian,250,1,2.9
Tiwari Ji Confectioner,Street Food,100,1,3.1
Wah Ji Wah,"North Indian, Chinese",450,1,2.8
Zaika Mughlai Foods,"Mughlai, Biryani",550,2,3.3
Al Yousuf,Mughlai,200,1,3.7
Amritsari Lassi Wala,Beverages,100,1,3.8
Annapurna Bhandar,Mithai,100,1,3.8
Bishan Swaroop Chaat Bhandar,Street Food,150,1,3.7
Gole Hatti,North Indian,150,1,3.8
Haldiram's,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,2,3.9
Kanwarji's,"Street Food, Chinese, North Indian, Mithai",300,1,3.9
Kedarnath Prem Chand Halwai,"Mithai, Street Food",100,1,3.7
Keventers,Beverages,400,1,3.7
Khan Omelette Corner,Fast Food,150,1,3.6
Natraj Dahi Bhalle Wala,Street Food,100,1,3.9
Old Famous Jalebi Wala,"Mithai, Street Food",100,1,3.9
Pt. Gaya Prasad Shiv Charan Paranthe Wale,North Indian,150,1,3.6
Pt.Kanhaiyalal & Durga Prasad Dixit Paranthe Wale,North Indian,150,1,3.6
Shiv Misthan Bhandar,"Mithai, Street Food",100,1,3.8
Special Jalebi Wala,Mithai,100,1,3.5
Tewari Bros Confectioners,"Street Food, North Indian, South Indian, Mithai",200,1,3.5
Annapurna Chaat & Sweets,Street Food,100,1,0.0
Delhi-6 The Chicken Planet,"Biryani, Mughlai",300,1,0.0
Dessi Food,Street Food,100,1,0.0
Foody Dragon,Chinese,300,1,0.0
Grover Eating Point,North Indian,200,1,0.0
Hotel 121 Shakahari,North Indian,300,1,0.0
Lala Chaap Corner,Fast Food,200,1,0.0
Meghraj & Sons,"Street Food, Mithai",200,1,0.0
Old Kheer Shop,Desserts,100,1,0.0
Punjabi Chicken,North Indian,400,1,0.0
Ratan Singh,Mithai,50,1,0.0
Shri Bhujia Bhandar,"Street Food, Mithai",100,1,0.0
Chaina Ram Sindhi Confectioners,"Mithai, Street Food",200,1,4.2
Giani's di Hatti,"Ice Cream, Mithai, North Indian, Street Food",150,1,4.3
Jung Bahadur Kachori Wala,Street Food,50,1,4.1
Lakhori - Haveli Dharampura,"Mughlai, Street Food",3000,4,4.4
Milk n More,"Desserts, Street Food",100,1,3.1
Kuremal Mohan Lal Kulfi Wale,Ice Cream,200,1,4.5
Hira Chaat Corner,Street Food,100,1,3.6
Kuremal Mahavir Prasad Kulfi Wale,Ice Cream,300,1,3.9
Shakahari Restaurant,North Indian,300,1,3.6
Shri Gujrat Namkeen Bhandar,"Street Food, Mithai",100,1,3.6
Standard Sweets,"Mithai, North Indian",200,1,3.6
Sudarshan,"Street Food, Beverages",150,1,3.7
Ustad Moinuddin Kebab,Fast Food,100,1,3.7
Ashok Chaat Corner,Street Food,100,1,4.1
Jain Coffee House,"Fast Food, Beverages",150,1,4.1
Shyam Sweets,"Mithai, Street Food",150,1,4.1
Spicy Food Court,"North Indian, Mughlai, Chinese",500,2,2.7
Aristocrat Sweet Shop,"Mithai, Bakery",300,1,3.1
Balluchi's - The Royal Cuisine,"North Indian, Mughlai, Chinese",800,2,3.0
Bunty Dhaba,"North Indian, Chinese",500,2,3.2
Gopal's Restaurant & Caterer's,"North Indian, Fast Food",300,1,2.7
Horn Please,"North Indian, Mughlai, Chinese",1000,3,3.0
Khatey Raho,"North Indian, Mughlai, Fast Food, South Indian",250,1,3.3
Kolkata Biryani House,"North Indian, Mughlai, Biryani",500,2,3.4
Kolkata Hot Kathi Roll,Fast Food,150,1,3.2
Madly Bangalee,"Mughlai, North Indian, Bengali, Continental",400,1,2.7
Oh! China,"Chinese, Thai",600,2,2.9
Punjabi Zaika,"Chinese, Mughlai, North Indian",500,2,2.9
Rabi Snacks Corner,Fast Food,300,1,3.4
Republic of Chicken,"Raw Meats, Fast Food",400,1,2.7
Roll n Roast,"North Indian, Chinese",250,1,3.3
Roller's High,"North Indian, Mughlai",500,2,3.2
Royal Chick 'N',"Mughlai, North Indian, Chinese",300,1,3.3
Royal Kolkata Biryani,"North Indian, Chinese, Biryani",500,2,2.7
Sameer's Restaurant,"North Indian, Mughlai, Chinese",600,2,2.5
Sanjha Chulha,"North Indian, Mughlai",550,2,2.7
Shepherd's,Fast Food,250,1,3.1
Soya King,North Indian,350,1,2.6
Tasty Tonight,"North Indian, Mughlai, Chinese",1000,3,3.1
The Mustard,Bengali,500,2,2.9
Tibb's Frankie,Fast Food,250,1,3.2
Wazwaan Restaurant,"North Indian, Kashmiri",1200,3,3.2
Yummi Kolkataa,Mithai,150,1,3.2
Annapurna Sweet House,"Mithai, Street Food",150,1,3.7
Ashirbad,Fast Food,100,1,3.6
Chocolatiers - The Chocolate Boutique,Desserts,100,1,3.8
Dadu Cutlet Shop,Fast Food,100,1,3.7
Dogs & Wiches,"Continental, American, Fast Food",600,2,3.9
Maa Tara,"Bengali, North Indian",500,2,3.6
My Spice Kitchen,"North Indian, Mughlai, Biryani, Bengali",650,2,3.5
The Singing Tree,Beverages,100,1,3.7
Baba Chicken Ludhiana Wale,North Indian,400,1,0.0
Bengal Snacks,Fast Food,300,1,0.0
Brownies & More,"Bakery, Fast Food",100,1,0.0
Cafe Coffee Day,Cafe,450,1,0.0
Craving Cure,Chinese,300,1,0.0
Cuisine,"North Indian, Mughlai, Chinese",1500,3,0.0
Food Nation,"North Indian, Chinese",400,1,0.0
Kamala Fast Food & Chinese,"Fast Food, Chinese",300,1,0.0
Lokenath Sweets,Mithai,150,1,0.0
Me and My Cake,"Bakery, Desserts",500,2,0.0
Chulha Punjabi Da,"North Indian, Chinese, Fast Food",600,2,2.4
Viva Hyderabad,"Biryani, North Indian",600,2,2.3
Metro Grill,"North Indian, Mughlai, Chinese",1200,3,3.4
Cafe Cruise,"Continental, North Indian, Chinese",1300,3,2.8
Etal The Lounge Bar,"North Indian, Italian, Fast Food",2000,4,3.2
"Game of Legends - Sports Bar, Grill, & Lounge","North Indian, Chinese, Continental, Italian",1450,3,3.5
Al-raaya,"Mughlai, North Indian",600,2,3.1
Authentique Bites,"Bakery, Desserts",300,1,3.2
Embassy,"Chinese, North Indian, Mughlai",1200,3,3.0
Narang's Bake 'n' Cake,"Bakery, Desserts, Fast Food",400,1,3.0
New Darvesh,"Chinese, South Indian",150,1,3.0
1UP,"Cafe, Italian, Continental",1200,3,3.5
Gujarati Samaj Santushti,Gujarati,300,1,3.6
Hind Bakery & Chinese Fast Food,Fast Food,150,1,0.0
Hot Pot,Chinese,150,1,0.0
Punjabi Flavour,North Indian,100,1,0.0
Saras Fast Food Feast,"North Indian, South Indian",300,1,0.0
Shama Chicken Corner,"Biryani, Mughlai",300,1,0.0
The Night Owl,Chinese,450,1,0.0
Wimpy Sweets And Confectioners,"Bakery, Mithai",150,1,0.0
Boa Village,"Chinese, Japanese, Korean, Asian",1500,3,4.0
Anand Ji Restaurant,"Chinese, North Indian, Street Food",400,1,3.1
Baskin Robbins,Ice Cream,300,1,3.3
Bhoj Restaurant,"North Indian, Mughlai",600,2,2.8
Brijwasi Restaurant,"North Indian, Chinese",400,1,2.8
Cafe Coffee Day - The Lounge,Cafe,750,2,3.2
Cafe Coffee Day,Cafe,450,1,2.9
Chaat Tadka,"North Indian, Street Food, Mithai",300,1,2.8
Chawla's Unique Chicken Corner,"North Indian, Mughlai",600,2,3.2
Dawat Khana,"North Indian, Mughlai, Chinese",1600,3,2.5
Eat n Joy,"North Indian, Mughlai",500,2,3.2
Khan Chicken Biryani,North Indian,500,2,2.9
Kolkata Roll,Fast Food,200,1,2.8
R. Ahmad Food,North Indian,450,1,3.0
Sab Ke Khatir,"North Indian, Mughlai",600,2,3.1
Bon Bon Pastry Shop,"Bakery, Desserts, Fast Food",150,1,3.5
Moksha,North Indian,1400,3,3.7
Pebble Street,"Italian, Tex-Mex, Continental, North Indian",2400,4,3.9
Kebab Gallery,"North Indian, Lucknowi",400,1,0.0
Amber,"North Indian, Chinese, Mughlai",1800,3,2.6
Attitude Kitchen & Bar,"North Indian, Continental, Italian",1300,3,2.9
Cafe Coffee Day,Cafe,450,1,3.4
Castle 9,"Finger Food, Continental, North Indian, Chinese",1350,3,3.1
Costa Coffee,Cafe,600,2,3.4
Delhi Darbar Dhaba,"North Indian, Chinese",400,1,3.2
Garam Dharam,North Indian,1300,3,3.4
Gola Sizzlers,"Chinese, North Indian, Mughlai, Continental",1600,3,3.0
Indian Coffee House,Fast Food,200,1,3.3
My Bar Lounge & Restaurant,"North Indian, Chinese, Italian, Continental",1000,3,2.7
My Bar Square,"North Indian, Chinese, Italian, Continental",1000,3,2.5
Sagar Ratna,"South Indian, North Indian, Chinese",600,2,3.4
The Immigrant Cafe,"North Indian, Italian, Continental",1100,3,3.2
MOB Brewpub,"Continental, Italian, Asian, Indian",1500,3,4.7
Naturals Ice Cream,Ice Cream,150,1,4.9
Zabardast Indian Kitchen,North Indian,1800,3,4.7
Anand Restaurant,North Indian,550,2,3.6
Berco's,"Chinese, Thai",1100,3,3.9
Blues,"Continental, Mexican, American, Italian, North Indian",1100,3,3.7
Burger King,"Burger, Fast Food",500,2,3.8
Burger Singh,"Burger, Juices, Finger Food",500,2,3.6
Cafe Coffee Day The Square,Cafe,700,2,3.6
Cafe Dalal Street,"North Indian, European",1500,3,3.7
Cafe Hawkers,"Chinese, Continental, North Indian",1200,3,3.7
Cafe Public Connection,"North Indian, Continental, Italian",1200,3,3.7
Caf�� MRP,"North Indian, Chinese, Italian, Mediterranean",800,2,3.6
Caffe Tonino,"Pizza, Italian, Cafe",1400,3,3.9
Cha Bar,Cafe,500,2,3.9
Chaayos,"Cafe, Tea",400,1,3.9
Chew - Pan Asian Cafe,"Asian, Japanese, Chinese, Thai",1700,3,3.9
China Garden,Chinese,1800,3,3.9
Desi Vibes,"North Indian, Mughlai",1400,3,3.9
Domino's Pizza,"Pizza, Fast Food",700,2,3.7
Dunkin' Donuts,"Burger, Desserts, Fast Food",600,2,3.8
Dunkin' Donuts,"Burger, Desserts, Fast Food",600,2,3.9
Embassy,"North Indian, Continental, European",2000,4,3.5
FLYP@MTV,"North Indian, Mexican, Italian, Continental",1200,3,3.9
GoGourmet,"Healthy Food, Beverages",600,2,3.7
Haldiram's,"Street Food, North Indian, South Indian, Chinese, Mithai",550,2,3.9
Indian Grill Company,"North Indian, Continental",1300,3,3.7
Jain Chawal Wale,North Indian,250,1,3.8
Jungle Jamboree,"North Indian, Continental, Chinese, Italian, Thai, Mughlai",1200,3,3.8
Kake Da Hotel,North Indian,600,2,3.5
Kebab Xpress,"North Indian, Mughlai",600,2,3.5
KFC,"American, Fast Food",500,2,3.7
Khan Chacha,"Mughlai, North Indian",650,2,3.7
Kinbuck 2,"North Indian, Italian, Mexican, Chettinad, Chinese, Lebanese",1600,3,3.9
La Americana,"Fast Food, Burger",450,1,3.7
Lady Baga,"Goan, Seafood",1200,3,3.7
Life Caffe,"Cafe, North Indian, Italian, Japanese, Fast Food",1500,3,3.6
Lord of the Drinks,"European, Chinese, North Indian, Italian",2200,4,3.9
McDonald's,"Fast Food, Burger",500,2,3.8
McDonald's,"Fast Food, Burger",500,2,3.7
Moets Arabica,"Arabian, Mexican",400,1,3.5
Mother India,"Bengali, South Indian, North Indian, Mughlai",1400,3,3.9
Mughlai Junction,"North Indian, Mughlai",650,2,3.9
My Bar Headquarters,"North Indian, Mughlai, Chinese",1000,3,3.7
Nando's,"Portuguese, African",1200,3,3.7
Nizam's Kathi Kabab,"North Indian, Fast Food",900,2,3.8
Oh My God,"North Indian, Italian, Chinese, Mexican",1400,3,3.8
Open House Cafe,"North Indian, Chinese, Mughlai, Italian",1700,3,3.8
Parikrama - The Revolving Restaurant,"North Indian, Chinese, Mughlai",2400,4,3.8
Pind Balluchi,"North Indian, Mughlai",1000,3,3.6
Pizza Hut,"Italian, Pizza, Fast Food",1000,3,3.5
Playboy Cafe,"North Indian, Chinese, Continental",1100,3,3.7
Privee',"Chinese, Italian, Continental, North Indian",5000,4,3.6
Punjabi By Nature,"North Indian, Mughlai",1100,3,3.7
Quote - The Eclectic Bar and Lounge,"Finger Food, European, North Indian",1700,3,3.5
Rajdhani Thali Restaurant,"Gujarati, Rajasthani",950,2,3.6
Route 04,"Continental, American, Tex-Mex, North Indian",1350,3,3.5
Sbarro,"Pizza, Italian",600,2,3.5
Shake Square,"Beverages, Fast Food",400,1,3.7
South Indian Snacks,South Indian,300,1,3.6
SSKY Bar & Lounge,"Mughlai, North Indian, Chinese",2800,4,3.5
Starbucks,Cafe,700,2,3.8
Subway,"American, Fast Food, Salad, Healthy Food",500,2,3.5
Tamasha,"Finger Food, North Indian, Continental, Italian",1600,3,3.7
Taste of China,"Chinese, Thai",1200,3,3.5
Teddy Boy,"North Indian, Continental, Finger Food",1200,3,3.9
The Beer Cafe - BIGGIE,"Finger Food, North Indian, Italian",1250,3,3.8
The Flying Saucer Cafe,"Italian, Mediterranean, Continental, North Indian",1500,3,3.9
The Junkyard Cafe,"North Indian, Mediterranean, Asian",1500,3,3.9
The Luggage Room Kitchen And Bar,"North Indian, Continental, Fast Food",1400,3,3.5
The Rolling Joint,Fast Food,450,1,3.9
The Vault Cafe,"North Indian, Mediterranean, Asian, Continental",1600,3,3.9
Veda,"North Indian, Mughlai",1600,3,3.9
Warehouse Cafe,"American, Continental, Italian, North Indian, Asian",1500,3,3.7
Zaffran,"North Indian, Mughlai",1800,3,3.9
Zen,"Chinese, Japanese, Italian, Seafood",1500,3,3.5
Zizo,"Lebanese, Mediterranean, Middle Eastern, Arabian",1600,3,3.9
Kettle & Kegs,Tea,200,1,0.0
Ovenstory Pizza,"Pizza, Fast Food",500,2,0.0
Shree Hari Vaishnav Dhaba,North Indian,200,1,0.0
38 Barracks,"North Indian, Italian, Asian, American",1600,3,4.4
Ambrosia Bliss,"North Indian, Chinese, Italian, Continental",1800,3,4.0
Ardor 2.1,"North Indian, Chinese, Continental, Italian",2000,4,4.1
Barbeque Nation,"North Indian, Chinese",1600,3,4.1
Bikkgane Biryani,"Biryani, North Indian, Hyderabadi",800,2,4.1
Biryani Blues,"Biryani, Hyderabadi",1000,3,4.0
Caffe 9,"North Indian, Chinese, Italian, American, Middle Eastern",2000,4,4.2
Excuse Me Boss,"Continental, North Indian, Chinese, Mediterranean",1800,3,4.1
Fa Yian,Chinese,1200,3,4.0
Farzi Cafe,Modern Indian,2200,4,4.4
Fuji Japanese Restaurant,Japanese,2000,4,4.0
Healthy Routes,"Healthy Food, Continental, Italian",800,2,4.0
HotMess,"North Indian, Mediterranean, Asian, Fast Food",1900,3,4.3
